"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"CRYBG3","OK",0.0111881767901655,2.28391794857076,0.0209803250256564,"CRYBG3",0.0387648005518456
"WDR41","OK",0.0112211117807902,2.28279878523155,0.0213045828027945,"WDR41",0.038870793649997
"BMPR2","OK",0.0112787224724208,2.28084796539292,0.0211568005309305,"BMPR2",0.0390622031588165
"RUFY1","OK",0.0113244066858994,2.27930714889052,0.0214636897579813,"RUFY1",0.0392122357604024
"FUS","OK",0.0113325697458357,2.27903239794383,0.0213921658439123,"FUS",0.0392323109589712
"SIK3","OK",0.0113423967852965,2.2787018690979,0.0208947912078801,"SIK3",0.0392499463970221
"BAIAP3","OK",0.011340956084838,2.27875031095491,0.0200691813218086,"BAIAP3",0.0392499463970221
"EMC9","OK",0.0113449868408279,2.27861479497483,0.0211501805211442,"EMC9",0.0392507200129269
"TCAIM","OK",0.0113929848870051,2.27700428439903,0.0202669007042107,"TCAIM",0.0394085604454364
"DAZAP1","OK",0.0114435213812845,2.27531495811309,0.0212796398533354,"DAZAP1",0.0395751137677199
"ABAT","OK",0.0114723723445679,2.27435343647745,0.0207105446615301,"ABAT",0.0396666182420271
"NEU3","OK",0.0114748909918363,2.27426959675346,0.0193904787554321,"NEU3",0.0396670575220085
"LTA","OK",0.0115741892357829,2.27097686534894,0.0202344834629413,"LTA",0.0399874711230167
"DBF4","OK",0.0115738486754072,2.27098811634221,0.0209033751104415,"DBF4",0.0399874711230167
"TMEM101","OK",0.0115748130267456,2.27095625809528,0.0212087310181328,"TMEM101",0.0399874711230167
"RAD51B","OK",0.0115784725482727,2.27083538334915,0.0212429826006499,"RAD51B",0.0399917837746044
"NDUFV2","OK",0.011594002829802,2.27032278379703,0.0213507561392502,"NDUFV2",0.0400370874318334
"MTFR1","OK",0.0116710958762116,2.26778700631673,0.0189300232722525,"MTFR1",0.0402949201088355
"AKAP17A","OK",0.0117547246990745,2.26505264030061,0.0211483746991364,"AKAP17A",0.0405667631832813
"GPN3","OK",0.0117542765982031,2.26506724655609,0.0212334285224973,"GPN3",0.0405667631832813
